pT_j1 eta_j1 phi_j1 pT_j2 eta_j2 phi_j2 m_jj tau21_j1 tau21_j2 tau32_j1 tau32_j2 met phi_met min_dPhi ht 
513.877 -0.820114 0.584542 372.293 -0.100987 -2.40188 937.33 0.800798 0.662467 0.894713 0.7896 30.7189 -2.45772 0.055841 1035.43 
396.078 1.67136 0.0483678 222.21 -1.59176 3.00646 1579.1 0.70684 0.744964 0.803609 0.690932 37.8622 2.84467 0.161794 722.753 
222.185 -1.33511 1.70887 204.809 -0.171164 -1.63646 517.692 0.707925 0.507351 0.864333 0.712786 43.7166 -0.885489 0.750973 486.358 
352.159 -1.84477 -2.96464 258.857 0.267859 0.317183 1016.68 0.488623 0.660205 0.647478 0.73011 16.0975 -0.710703 1.02789 860.771 
281.133 0.812413 2.81524 261.12 0.984537 -0.788448 544.689 0.795438 0.731051 0.821784 0.622167 15.0541 -0.953621 0.165173 787.016 
443.389 0.920236 -0.214959 358.306 1.54062 2.90441 842.227 0.511388 0.524242 0.843245 0.822168 12.5709 2.60449 0.299922 878.734 
387.417 0.207271 -1.61658 346.46 -0.116266 1.49843 753.213 0.726567 0.401556 0.809102 0.944966 26.3327 2.0571 0.532093 751.93 
233.795 2.51383 -0.988732 220.861 1.41274 2.24694 548.315 0.769302 0.488672 0.866374 0.878422 21.7923 1.38309 0.863854 439.057 
462.337 0.61191 1.0099 368.955 -0.250584 -2.1066 931.531 0.778647 0.500136 0.6147 0.787202 52.6791 -2.01257 0.0940266 869.82 
203.375 -0.0026694 0.519943 202.24 -1.17155 -2.74926 498.086 0.581928 0.399266 0.853724 0.690407 26.5496 -1.62393 1.12534 428.793 
294.498 0.710584 -0.0699941 277.057 1.5511 3.03824 645.108 0.692186 0.570476 0.893337 0.825492 57.9148 3.00598 0.032258 681.64 
617.202 -0.234294 0.679269 547.214 0.0130183 -2.40899 1179.68 0.845009 0.649199 0.859726 0.838484 22.3441 -2.35888 0.050113 1224.16 
302.89 1.6351 2.49946 239.356 2.24785 -0.533257 574.293 0.866965 0.931429 0.827802 0.749711 36.9675 -0.655736 0.0136002 568.975 
320.344 -0.343422 -0.369289 311.634 1.76179 2.83324 1018.91 0.63386 0.85742 0.821018 0.894916 6.69698 3.09737 0.264127 693.25 
841.137 1.01073 0.0425616 746.373 -0.867282 3.1335 2359.76 0.364324 0.389068 0.609687 0.53239 78.9222 3.13082 0.00267911 1698.13 
434.603 0.13966 -0.99625 351.386 1.46841 1.90089 972.324 0.754871 0.348272 0.848273 0.902198 49.4344 2.08573 0.184838 970.449 
234.843 1.48635 2.26443 230.558 1.55157 -0.924785 486.323 0.702248 0.481335 0.951447 0.816207 34.9699 1.91914 0.345285 486.599 
271.933 -0.188304 0.597242 207.306 1.20141 -2.47776 615.862 0.831343 0.770431 0.861439 0.671458 14.6383 3.09328 2.42945 564.26 
240.326 -0.125606 0.712277 232.949 1.895 -2.21675 739.447 0.804317 0.828001 0.922937 0.79595 24.5427 -2.48915 0.0598305 732.016 
418.06 0.478237 1.24939 376.261 0.16397 -1.88073 830.194 0.611974 0.661455 0.707875 0.693751 68.6924 -1.86964 0.0110877 872.766 
496.061 -1.28521 1.08398 473.149 0.589831 -1.9283 1433.15 0.871131 0.814353 0.759762 0.77323 21.9787 2.33808 1.12479 1075.17 
441.127 -0.333412 1.97778 311.152 0.301429 -1.2705 809.5 0.426059 0.781501 0.55923 0.897363 46.4794 -1.1348 0.135696 871.079 
334.102 0.0221031 -0.626205 202.359 -1.82931 2.48061 769.51 0.431302 0.768002 0.735955 0.692816 1.57498 -1.32273 0.661747 647.12 
299.557 1.03747 0.762844 255.679 0.420921 -2.3882 588.931 0.668476 0.743163 0.878578 0.837435 53.756 -2.5886 0.200404 615.821 
265.541 -0.76244 -0.505016 205.854 -0.728195 2.30769 477.62 0.564994 0.559172 0.870201 0.774304 12.8437 -1.68123 0.847331 529.463 
311.16 -0.343509 -1.36353 243.472 0.354237 2.03814 594.148 0.487224 0.671399 0.833547 0.851892 8.17238 1.22635 0.811788 651.189 
281.37 1.53469 -1.96008 271.924 0.936785 0.905913 596.429 0.506679 0.255388 0.753334 0.85419 14.228 2.49307 1.31156 714.245 
479.415 -0.949988 0.950668 284.466 -2.56202 -1.77417 1024.29 0.27207 0.3419 0.732804 0.743386 48.9793 0.791983 0.158685 1076.38 
238.258 -2.2886 0.213169 219.605 -0.565009 -2.88725 684.632 0.75831 0.412124 0.906087 0.682698 25.9825 2.90919 2.65485 544.24 
355.185 -1.77302 -2.47618 221.021 1.11943 1.49263 1242.21 0.462475 0.62744 0.867146 0.72653 11.1491 -2.45552 0.0206525 913.973 
334.792 0.168319 -1.17707 292.899 -0.972078 1.79755 734.753 0.882858 0.592444 0.647593 0.785696 51.3352 2.21273 0.248205 639.692 
363.706 2.1574 -1.29277 347.751 0.950869 2.24614 854.858 0.347297 0.600415 0.904311 0.841878 16.5333 1.06922 1.17692 846.728 
685.426 0.762782 -0.403299 567.736 -0.00409633 3.04185 1361.05 0.586058 0.433958 0.794685 0.688941 222.551 2.78602 0.0477236 1495.07 
284.605 -0.861646 -2.69367 232.458 0.961011 0.237128 761.907 0.752238 0.875546 0.75003 0.807569 46.1653 -0.719121 0.956249 785.627 
260.577 1.05054 -1.94031 219.104 -0.361384 1.09212 624.55 0.231395 0.69931 0.897802 0.73292 48.6411 1.14119 0.0490648 524.902 
304.848 1.38572 0.780482 236.775 1.49974 -2.48764 542.418 0.629504 0.779399 0.752706 0.769104 38.2297 -2.20645 0.281193 582.183 
302.629 -1.19665 0.110022 206.008 -2.26485 -2.97865 603.071 0.462304 0.537437 0.672216 0.865715 153.494 -2.84443 0.134224 575.355 
415.318 0.427485 -2.45967 333.768 2.67044 0.686554 1279.73 0.778278 0.610112 0.861327 0.418459 12.6774 1.64178 0.955226 852.395 
1195.53 -1.25794 -3.03454 837.406 1.68069 0.122179 4596.07 0.504156 0.655381 0.771523 0.683665 338.621 0.004968 0.117211 2055.17 
499.536 2.35075 0.41186 372.47 0.766183 -3.03293 1207.36 0.75384 0.250633 0.881409 0.783377 60.1733 0.992385 0.580525 1121.52 
391.892 0.273447 -1.41165 387.703 -0.71595 2.05709 882.098 0.746908 0.722796 0.725282 0.652716 65.598 -1.08631 0.00180039 900.804 
327.298 -0.862019 -2.77987 284.196 -0.782149 0.166391 647.06 0.489907 0.749307 0.767384 0.875701 54.8908 -0.15518 0.321571 731.759 
462.77 -1.08572 -0.967822 366.588 0.98189 2.70965 1297.66 0.543147 0.791674 0.723309 0.761972 85.8506 2.75132 0.0416629 1148.38 
340.725 0.441374 3.05751 317.447 2.27429 -0.21873 995.805 0.644363 0.382772 0.730436 0.570133 30.4556 -3.05508 2.83635 739.509 
353.034 -2.34017 0.84064 241.802 -0.785935 -2.33389 797.276 0.354479 0.678475 0.590827 0.489627 96.9831 -2.25329 0.0805933 615.153 
513.671 0.324313 -1.03993 443.048 -0.624579 2.11333 1127.96 0.349675 0.429217 0.700674 0.763582 24.2081 -0.930286 0.109644 1039.9 
320.583 0.0202636 -1.61755 306.685 -0.764062 1.56875 711.396 0.387596 0.627239 0.844439 0.686227 12.1551 0.569648 0.999102 661.511 
562.726 -0.630312 0.127388 328.248 0.635765 -2.63234 1038.15 0.605283 0.492063 0.802337 0.776761 49.8025 0.181366 0.0539775 1243.22 
293.507 -0.910328 -3.07683 203.306 -1.79455 -0.201227 551.445 0.690292 0.720328 0.743176 0.918566 15.2524 2.95809 0.0177253 657.399 
326.18 1.43703 2.9008 269.844 1.61837 -0.28482 613.211 0.81121 0.601232 0.85825 0.793422 53.0411 -0.0979949 0.186825 600.872 
